"您为此书添加的 Kindle 笔记：",,,
"便便来了 你的肠子在说啥？（欢脱爆笑的肠道科普知识,对便便了如指掌，是一件有勇气的事。雄踞德国亚马逊保健畅类图书畅销榜。）",,,
"作者：阿德里安•舒尔特",,,
"免费 Kindle 极速预览：",,,
"https://z.cn/7ORwvNV",,,
----------------------------------------------,,,
,,,
"批注类型","位置","已加星标？","批注"
"标注 (黄)","位置 21","","每天都感觉没有干劲？！这可不太妙，毕竟我们希望每天都活力满满，我们本应该是健康又高效的状态，最好能青春永驻。然而现实并非如此，大多时候我们就是感觉—身体“不给"
"标注 (黄)","位置 22","","为了改变这种状况，我们早早走上了养生之路。健康、可持续的生活作息习惯，以及营养丰富的各类食品是养生道路上的“标"
"标注 (黄)","位置 25","","却忽视了进入之后才能见到的“正主”—掌管着一切消化及吸收功能被称为“人体第二大脑”的肠"
"标注 (黄)","位置 27","","请看一下周围的人，有多少人正遭受便秘、肠炎、痔疮、结肠憩室病以及其他肠道疾病的折磨，严重的甚至罹患"
"标注 (黄)","位置 30","","众多研究指出，不健康的肠道实际上是很多“文明病”的诱因，比如心血管疾病和癌症，脊椎健康和精神状况也会受到肠道的"
"标注 (黄)","位置 33","","就目前研究来看，维护肠道健康不是一粒药就能解决的，而是一项长期工程。药物可以治愈一时的外在症状，而肠道是否健康、肠道菌群是否平衡，很大程度上取决于我们每天吃什么、怎么吃。对脆弱的肠道而言，很多食物本身就是一种"
"标注 (黄)","位置 35","","饮食方式的巨大改变可能是削弱肠道功能的“罪魁祸首”。在过去一百年中，我们可以选择的食物越来越多，而吃饭时间却越来越短。这一改变确实给我们的健康带来了严重的"
"标注 (黄)","位置 38","","我们食用自家花园种植的新鲜蔬菜，一周吃两次优质蛋白质食物—鱼肉或猪肉，牛奶也是来自附近农庄的新鲜牛奶。尽管我们吃的食物非常健康，我父亲却大腹便便，对此我一直很困惑，后来我发现父亲吃饭很快。那时，我还没有把它与不健康的肠道联系"
"标注 (黄)","位置 43","","后来，我发现在过去的几千年中，人类的饮食结构都没发生太大的变化，“文明病”"
"标注 (黄)","位置 44","","是由于食物选择的多样化，以及生活节奏加快导致的。这也难怪我们的肠道无法"
"标注 (黄)","位置 47","","在这里，我第一次意识到，肠道与健康密切相关：一些看似与肠道无关的疾病，通过调理肠道，也可以得以改善，甚至完全治愈。从最初的惊讶，到如今我已有20年的临床经验，我成功治愈了很多"
"标注 (黄)","位置 50","","我们经常吃得又快又多，使肠道不堪重负，所以我们应该寻找一种健康、基础的饮食"
"标注 (黄)","位置 50","","不是尝试极端的营养食谱。至少，这种基础的饮食方式给肠道带来"
"标注 (黄)","位置 51","","通过阅读本书，您会了解到究竟是什么削弱了肠道功能，如何通过简单地调整日常饮食习惯恢复肠道健康，从而逐渐改善身体健康。另外，大便的气味、颜色以及性状，都是您判断肠道健康与否的重要"
"标注 (黄)","位置 56","","对大多数人来说，选择食物更重要的是"
"标注 (黄)","位置 58","","我会向您介绍几个小方法，在生活中实践这些方法，您的肠道功能就会逐渐走上正轨。我们将会从两方面入手：首先，我们来改变您的饮食习惯，然后我还准备了1个10日“健肠”计划。在我20年的从医经历中，10日“健肠”计划治愈了无数病患者。这项计划是我结合F.X.迈尔医生的理念—肠道需要休息和修护，反复实践而来。这样做不只是为了让肠道更舒适，更是预防疾病的理想"
"标注 (黄)","位置 61","","我希望，在阅读完本书后，您能判断出哪些食物是适合自己的，哪种食物应该从食谱中去掉。只要养成认真咀嚼的习惯，通常您不用大费周章就能改善排便"
"标注 (黄)","位置 87","","恶臭的便便是肠道状况变差的信号，这说明肠道环境堪"
"标注 (黄)","位置 87","","可是，这个信号仅在空气中停留几分钟，就永远消失在下水道里"
"标注 (黄)","位置 90","","当运行良好的大肠帮助我们顺利排便后，整个世界好像都变得明亮"
"标注 (黄)","位置 97","","大便的一部分是由已消化的食物残渣，以及肠道菌群不能消化的食物残渣组成。如果摄入的食物中膳食纤维含量丰富，这一部分所占的比例就会增加，大便的分量也会"
"标注 (黄)","位置 98","","脱落的小肠黏膜也是组成大便的一部分，就像皮肤黏膜一样，肠道黏膜也会定时"
"标注 (黄)","位置 106","","事实上，如果消化功能正常，不论是外观还是气味，大便都没那么让人恶心。只有当肠道出了问题，排泄物在肠道里经过非正常的发酵和腐烂，大便才会变成散发着恶臭、带有块状物的"
